Data, Godzina
03/11/2019,16:35:10
03/11/2019,16:35:53
03/11/2019,16:35:53
03/11/2019,16:36:09
03/11/2019,16:36:09
03/11/2019,17:04:38
03/11/2019,17:04:38
03/11/2019,17:12:07
03/11/2019,17:12:07
03/11/2019,17:13:17
03/11/2019,17:13:17
03/11/2019,17:15:13
03/11/2019,17:15:13
03/11/2019,17:18:50
03/11/2019,17:18:50
03/11/2019,17:19:13
03/11/2019,17:19:13
04/11/2019,18:36:18
04/11/2019,18:36:18
04/11/2019,18:42:43
04/11/2019,18:42:43
04/11/2019,18:43:51
04/11/2019,18:43:51
04/11/2019,18:45:01
04/11/2019,18:45:01
04/11/2019,18:46:15
04/11/2019,18:46:15
05/11/2019,17:26:01
05/11/2019,17:26:01
05/11/2019,19:07:49
05/11/2019,19:07:49
05/11/2019,19:09:16
05/11/2019,19:09:16
05/11/2019,19:10:34
05/11/2019,19:10:34
05/11/2019,19:11:11
05/11/2019,19:11:11
05/11/2019,20:12:42
05/11/2019,20:13:08
05/11/2019,20:15:36
05/11/2019,20:15:52
05/11/2019,20:19:09
05/11/2019,20:20:05
05/11/2019,20:22:50
05/11/2019,20:23:33
05/11/2019,20:25:08
05/11/2019,20:25:48
05/11/2019,20:26:15
06/11/2019,18:39:02
06/11/2019,18:39:02
06/11/2019,19:04:29
06/11/2019,19:04:29
06/11/2019,19:08:28
06/11/2019,19:08:28
06/11/2019,19:32:36
06/11/2019,19:32:36
06/11/2019,19:37:13
06/11/2019,19:37:13
06/11/2019,21:04:05
06/11/2019,21:04:06
06/11/2019,21:06:35
06/11/2019,21:06:35
06/11/2019,21:12:51
07/11/2019,18:16:51
07/11/2019,18:16:51
07/11/2019,18:34:48
07/11/2019,18:34:48
